sweep,run_id,group,label,diag_error,status,n_obstacles,mean_consistency,runtime_s,stitch_h_line_count,stitch_v_line_count,stitch_h_angle_std_deg,stitch_v_angle_std_deg,stitch_h_spacing_cv,stitch_v_spacing_cv,stitch_content_frac,stitch_convexity_ratio,stitch_bbox_aspect_ratio,stitcher_frames_placed,stitcher_frames_failed,stitcher_placement_rate,stitcher_keyframes,stitcher_grid_refined_frac,stitcher_grid_skipped_frac,pg_rms_before,pg_rms_after,pg_rms_ratio,pg_marker_count,pg_edge_count,pg_frame_count,dewarp_h_line_count,dewarp_v_line_count,dewarp_skipped,green_hull_area_frac,green_hull_convexity,green_pixel_frac,blob_count,blob_mean_area_frac,blob_std_area_frac,blob_max_area_frac,blob_mean_consistency,blob_std_consistency,blob_min_consistency,blob_count_high_consistency,marker_amr_found,marker_amr_instance_count,marker_amr_x_norm,marker_amr_y_norm,marker_amr_inside_hull,marker_goal_found,marker_goal_instance_count,marker_goal_x_norm,marker_goal_y_norm,marker_goal_inside_hull,inter_marker_distance_norm,cfg_artifact_thresh,cfg_blur_thresh,cfg_feature_exclude_dilate_px,cfg_feature_exclude_hsv,cfg_feature_extractor,cfg_feature_matcher,cfg_grid_hsv_h_hi,cfg_grid_hsv_h_lo,cfg_grid_hsv_s_lo,cfg_grid_hsv_v_lo,cfg_grid_match_dist,cfg_grid_min_intersections,cfg_keyframe_interval,cfg_lookback,cfg_mad_factor,cfg_match_ratio,cfg_max_movement,cfg_min_inliers,cfg_min_keypoint_bins,cfg_min_movement,cfg_pg_huber_delta,cfg_pg_iterations,cfg_pg_loop_weight,cfg_pg_marker_weight,cfg_pg_odom_weight,cfg_processing_scale,cfg_static_pixel_thresh,cfg_target_fps,cfg_use_fiducials,cfg_use_grid_intersections,cfg_use_pose_graph
scan18,A001,A,fail,False,ok,1,0.9999908208847046,19.7,576.0,698.0,1.658792426632518,70.12391138555215,4.354841229577418,3.971690740461412,0.9028818888888889,0.9778822523644147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,576.0,698.0,0.0,0.9228472835299499,0.2782330066646127,0.2567665743888083,1.0,0.013910848702982063,0.0,0.013910848702982063,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.4613365764082366,0.3883177318432222,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,2.5,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A002,A,fail,False,ok,1,0.9999908208847046,18.5,576.0,698.0,1.658792426632518,70.12391138555215,4.354841229577418,3.971690740461412,0.9028818888888889,0.9778822523644147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,576.0,698.0,0.0,0.9228472835299499,0.2782330066646127,0.2567665743888083,1.0,0.013910848702982063,0.0,0.013910848702982063,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.4613365764082366,0.3883177318432222,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,10,2.5,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A003,A,fail,False,ok,1,0.9999908208847046,18.8,576.0,698.0,1.658792426632518,70.12391138555215,4.354841229577418,3.971690740461412,0.9028818888888889,0.9778822523644147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,576.0,698.0,0.0,0.9228472835299499,0.2782330066646127,0.2567665743888083,1.0,0.013910848702982063,0.0,0.013910848702982063,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.4613365764082366,0.3883177318432222,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,12,2.5,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A004,A,fail,False,ok,1,0.9999908208847046,19.3,576.0,698.0,1.658792426632518,70.12391138555215,4.354841229577418,3.971690740461412,0.9028818888888889,0.9778822523644147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,576.0,698.0,0.0,0.9228472835299499,0.2782330066646127,0.2567665743888083,1.0,0.013910848702982063,0.0,0.013910848702982063,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.4613365764082366,0.3883177318432222,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,2.5,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A005,A,fail,False,ok,1,0.9999908208847046,19.0,576.0,698.0,1.658792426632518,70.12391138555215,4.354841229577418,3.971690740461412,0.9028818888888889,0.9778822523644147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,576.0,698.0,0.0,0.9228472835299499,0.2782330066646127,0.2567665743888083,1.0,0.013910848702982063,0.0,0.013910848702982063,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.4613365764082366,0.3883177318432222,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,20,2.5,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A006,A,fail,False,ok,1,0.9999897480010986,18.4,603.0,705.0,2.1768452174472936,74.9218397122324,4.957938504036574,4.363110830186108,0.9031084444444445,0.9782505307246281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,603.0,705.0,0.0,0.9251665814801181,0.2757891594251022,0.2551509138345971,1.0,0.013746438032622944,0.0,0.013746438032622944,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46349342533550797,0.38842806177829575,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A007,A,fail,False,ok,1,0.9999897480010986,18.6,603.0,705.0,2.1768452174472936,74.9218397122324,4.957938504036574,4.363110830186108,0.9031084444444445,0.9782505307246281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,603.0,705.0,0.0,0.9251665814801181,0.2757891594251022,0.2551509138345971,1.0,0.013746438032622944,0.0,0.013746438032622944,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46349342533550797,0.38842806177829575,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,10,3.0,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A008,A,fail,False,ok,1,0.9999897480010986,22.8,603.0,705.0,2.1768452174472936,74.9218397122324,4.957938504036574,4.363110830186108,0.9031084444444445,0.9782505307246281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,603.0,705.0,0.0,0.9251665814801181,0.2757891594251022,0.2551509138345971,1.0,0.013746438032622944,0.0,0.013746438032622944,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46349342533550797,0.38842806177829575,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,12,3.0,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A009,A,fail,False,ok,1,0.9999897480010986,21.0,603.0,705.0,2.1768452174472936,74.9218397122324,4.957938504036574,4.363110830186108,0.9031084444444445,0.9782505307246281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,603.0,705.0,0.0,0.9251665814801181,0.2757891594251022,0.2551509138345971,1.0,0.013746438032622944,0.0,0.013746438032622944,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46349342533550797,0.38842806177829575,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,3.0,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan18,A010,A,fail,False,ok,1,0.9999897480010986,20.3,603.0,705.0,2.1768452174472936,74.9218397122324,4.957938504036574,4.363110830186108,0.9031084444444445,0.9782505307246281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,603.0,705.0,0.0,0.9251665814801181,0.2757891594251022,0.2551509138345971,1.0,0.013746438032622944,0.0,0.013746438032622944,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46349342533550797,0.38842806177829575,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,20,3.0,0.58,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
